comment_text,sentiment_label,sentiment,confidence_score,url,post_url
Thầy chỉ có tâm quá đẳng cấp,TIÊU CỰC,NEG,0.9879,https://www.facebook.com/hoclaixebinhduong/videos/b%C3%A0i-t%C4%83ng-s%E1%BB%91-t%C4%83ng-t%E1%BB%91c-%C4%91%E1%BB%99-v%C3%A0i-l%E1%BB%9Di-chia-s%E1%BA%BD-gvhd-vothehung/1204016994166443?locale=en_US,https://www.facebook.com/hoclaixebinhduong/videos/b%C3%A0i-t%C4%83ng-s%E1%BB%91-t%C4%83ng-t%E1%BB%91c-%C4%91%E1%BB%99-v%C3%A0i-l%E1%BB%9Di-chia-s%E1%BA%BD-gvhd-vothehung/1204016994166443?locale=en_US
Tien nao thit day,TÍCH CỰC,POS,0.9908,https://www.facebook.com/legiahuy08/videos/honda-city-kh%C3%B4ng-ti%E1%BA%BFt-ki%E1%BB%87m-x%C4%83ng-nh%C6%B0-c%C3%B4ng-b%E1%BB%91-v%C3%A0-c%C3%A1ch-%C3%A2m-r%E1%BA%A5t-t%E1%BB%87/3351386751756579?locale=en_US,https://www.facebook.com/legiahuy08/videos/honda-city-kh%C3%B4ng-ti%E1%BA%BFt-ki%E1%BB%87m-x%C4%83ng-nh%C6%B0-c%C3%B4ng-b%E1%BB%91-v%C3%A0-c%C3%A1ch-%C3%A2m-r%E1%BA%A5t-t%E1%BB%87/3351386751756579?locale=en_US
Ngoài lề sắp nhận VF3 thật ko bác :)) sợ năm sau còn chưa thấy tăm hơi,TRUNG TÍNH,NEU,0.5634,https://www.facebook.com/groups/aemexe/posts/2963945363760380?locale=en_US,https://www.facebook.com/groups/aemexe/posts/2963945363760380?locale=en_US
"Tỷ mấy mà mới khen khá đầm chắc,chắc mầy phải đi lexus 570 mới đầm chắc dính xuống đường hả mầy.",TÍCH CỰC,POS,0.9787,https://www.facebook.com/groups/399829987748376/posts/1587581798973183?locale=en_US,https://www.facebook.com/groups/399829987748376/posts/1587581798973183?locale=en_US
"Thuê pin, tiền dư để độ bạn nhé",TÍCH CỰC,POS,0.9398,https://www.facebook.com/groups/vf3clubvn369/posts/3994173760814551?locale=en_US,https://www.facebook.com/groups/vf3clubvn369/posts/3994173760814551?locale=en_US
"Mình lần đầu mua xe là quất vf7, trộm vía k bị lỗi gì, vẫn cứ là mê, đi tích cực vì k mất tiền đổ xăng.",TÍCH CỰC,POS,0.9765,https://www.facebook.com/groups/vinfastvf7vn/posts/2082084692333484?locale=en_US,https://www.facebook.com/groups/vinfastvf7vn/posts/2082084692333484?locale=en_US
clm chiếc này lúc quái nào cũng móp đít :)))),TIÊU CỰC,NEG,0.9726,https://www.facebook.com/groups/2732285143757175/posts/4651645811821089?locale=en_US,https://www.facebook.com/groups/2732285143757175/posts/4651645811821089?locale=en_US
"Tôi chỉ ấn tượng chiếc "" cờ - nê 10 "" , phải nói là rất hữu dụng... chấm hết !",TÍCH CỰC,POS,0.9916,https://www.facebook.com/hocgiahd/posts/%C4%91%C3%A2y-l%C3%A0-nh%E1%BA%ADn-x%C3%A9t-%C4%91%C3%A1nh-gi%C3%A1-kh%C3%A1ch-quan-tuy%E1%BB%87t-%C4%91%E1%BB%91i-v%E1%BB%81-vf9-sau-th%E1%BB%9Di-gian-d%C3%A0i-s%E1%BB%AD-d%E1%BB%A5ng-v/9317838828300133?locale=en_US,https://www.facebook.com/hocgiahd/posts/%C4%91%C3%A2y-l%C3%A0-nh%E1%BA%ADn-x%C3%A9t-%C4%91%C3%A1nh-gi%C3%A1-kh%C3%A1ch-quan-tuy%E1%BB%87t-%C4%91%E1%BB%91i-v%E1%BB%81-vf9-sau-th%E1%BB%9Di-gian-d%C3%A0i-s%E1%BB%AD-d%E1%BB%A5ng-v/9317838828300133?locale=en_US
Awd hoặc cầu sau thì ngon,TÍCH CỰC,POS,0.9809,https://www.facebook.com/groups/399829987748376/posts/1565268001204563?locale=en_US,https://www.facebook.com/groups/399829987748376/posts/1565268001204563?locale=en_US
Lê Hải Quân dân trong nghề vào cho bác ấy ít ý kiến kìa b ơi :)),TRUNG TÍNH,NEU,0.8843,https://www.facebook.com/groups/1146136506215419/posts/2334340570728334?locale=en_US,https://www.facebook.com/groups/1146136506215419/posts/2334340570728334?locale=en_US
Chịu rồi 😂😂😂,TIÊU CỰC,NEG,0.9863,https://www.facebook.com/groups/gearupvn/posts/1108694514029015?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1108694514029015?locale=en_US
"Đời này nó ngon hơn đời trước mà, có điều cái giá con xforce nó nát quá nên bị khớp, có điều độ hoàn thiện thấy seltos vẫn nhỉnh hơn.",TÍCH CỰC,POS,0.9685,https://www.facebook.com/groups/gearupvn/posts/1124516135780186?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1124516135780186?locale=en_US
Bác mua elantra ý. Chứ đi M3 nhiều lắm rồi. M3 mà chạy dịch vụ thì kỳ lắm,TIÊU CỰC,NEG,0.9676,https://www.facebook.com/groups/gearupvn/posts/910470217184780?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/910470217184780?locale=en_US
Trải nghiệm 5000km trộm vía xe ổn định,TÍCH CỰC,POS,0.5541,https://www.facebook.com/groups/vinfastvf3bamien/posts/9412467512098543?locale=en_US,https://www.facebook.com/groups/vinfastvf3bamien/posts/9412467512098543?locale=en_US
"Mua xe phục vụ mình mà bác ơi, giờ lại đi lo che nắng che mưa cho nó nữa thì hết ngày",TRUNG TÍNH,NEU,0.8717,https://www.facebook.com/groups/1023069638660550/posts/1483913302576179?locale=en_US,https://www.facebook.com/groups/1023069638660550/posts/1483913302576179?locale=en_US
"Thích để số nào cũng được, k cần về N để sang số đâu cơ bản là xe điện k có khái niệm hộp số",TRUNG TÍNH,NEU,0.8436,https://www.facebook.com/groups/vinfastvf7vn/posts/2129602500915036?locale=en_US,https://www.facebook.com/groups/vinfastvf7vn/posts/2129602500915036?locale=en_US
"Bài viết rất tâm huyết cho xe điện VF ạ. Nhờ có ng dùng đóng góp khách quan như bác thì hãng xe mới dần dc cải thiện. Vì nhà ở OCP, e cũng đã ra showroom xem xe vài lần nhg rồi vẫn qdinh dùng tiếp xe xăng vì 2 chữ “ổn định”. Có thể trong tương lai gần lại quay lại showroom lần nữa ạ :))",TÍCH CỰC,POS,0.9915,https://www.facebook.com/groups/gearupvn/posts/1069631337935333?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1069631337935333?locale=en_US
097 8990587,TRUNG TÍNH,NEU,0.532,https://www.facebook.com/groups/419523181839328/posts/2609069282884696?locale=en_US,https://www.facebook.com/groups/419523181839328/posts/2609069282884696?locale=en_US
"Bạn cần lái xe alo mình chạy cho mình chuyên chạy Hà Giang mình ở Hà Nội 
Hotline: 0334,933,288",TÍCH CỰC,POS,0.826,https://www.facebook.com/groups/189032072484816/posts/1963510448370294?locale=en_US,https://www.facebook.com/groups/189032072484816/posts/1963510448370294?locale=en_US
Sao mình bấm không hiện mấy bài của bạn này rồi mà vẫn cứ thấy đc nhỉ,TÍCH CỰC,POS,0.9719,https://www.facebook.com/groups/gearupvn/posts/1413803556851441?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1413803556851441?locale=en_US
honda nngon hơn,TÍCH CỰC,POS,0.9925,https://www.facebook.com/groups/xpandervietnamclub/posts/4025381424350901?locale=en_US,https://www.facebook.com/groups/xpandervietnamclub/posts/4025381424350901?locale=en_US
Xe này còn ko anh,TRUNG TÍNH,NEU,0.8364,https://www.facebook.com/groups/399829987748376/posts/1565268001204563?locale=en_US,https://www.facebook.com/groups/399829987748376/posts/1565268001204563?locale=en_US
"Mình lúc mua nhờ ae sale nó bọc luôn da nappa có 3,5 củ. Sạch sẽ chứ để nỉ là khổ phết đấy",TRUNG TÍNH,NEU,0.4762,https://www.facebook.com/groups/SONETClubVN/posts/1887408588903680?locale=en_US,https://www.facebook.com/groups/SONETClubVN/posts/1887408588903680?locale=en_US
"Lấy bản 2025 cho rẻ tiền a ơi, hàng sẵn lấy ib e: 0886886306",TÍCH CỰC,POS,0.5194,https://www.facebook.com/groups/1167278443782686/posts/2414762739034244?locale=en_US,https://www.facebook.com/groups/1167278443782686/posts/2414762739034244?locale=en_US
Màn to nhìn phê ghê,TÍCH CỰC,POS,0.9924,https://www.facebook.com/groups/aemexe/posts/3363549633799949?locale=en_US,https://www.facebook.com/groups/aemexe/posts/3363549633799949?locale=en_US
Hết điện 😌,TÍCH CỰC,POS,0.8117,https://www.facebook.com/groups/1167278443782686/posts/2541069836403533?locale=en_US,https://www.facebook.com/groups/1167278443782686/posts/2541069836403533?locale=en_US
Bác lấy Xp giá đẹp và phụ kiện tốt liên hệ em Hà Mitsubishi An Dân nhé 😊e hỗ trợ nhiệt tình luôn ạ ☎️0️⃣3️⃣9️⃣4️⃣9️⃣1️⃣8️⃣1️⃣9️⃣1️⃣,TÍCH CỰC,POS,0.9928,https://www.facebook.com/groups/xpandervietnamclub/posts/2220406908181704?locale=en_US,https://www.facebook.com/groups/xpandervietnamclub/posts/2220406908181704?locale=en_US
Vì sao trong hệ thống biển cảnh báo không có biểu tượng cấm dừng đỗ e ơi?,TIÊU CỰC,NEG,0.9749,https://www.facebook.com/thanhphatauto.net/posts/nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-tr%C6%B0%E1%BB%9Bc-khi-mua-vietmap-live-2026vietmap-live-%C4%91ang-l%C3%A0-l%E1%BB%B1a-ch%E1%BB%8Dn/1521124263368713?locale=en_US,https://www.facebook.com/thanhphatauto.net/posts/nh%E1%BB%AFng-%C4%91i%E1%BB%81u-c%E1%BA%A7n-bi%E1%BA%BFt-tr%C6%B0%E1%BB%9Bc-khi-mua-vietmap-live-2026vietmap-live-%C4%91ang-l%C3%A0-l%E1%BB%B1a-ch%E1%BB%8Dn/1521124263368713?locale=en_US
"mình mới chạy so sánh test Xforce BRV , XL7 , Xpander và Stargazer X trong hôm qua và hôm nay nè, mình có ngó qua ngồi thử cảm nhận cả creta và sonet seltos luôn , nếu chọn 7 chỗ thì nên lấy XL7 hybrid nước gas đầu bốc động cơ grừm nhẹ nghe như xe thể thao thấy thích, lên 80km/h cũng nhanh do có động cơ điện hỗ trợ, tầm quan sát tốt,máy lạnh ngon phơi nắng xe gần 3 tiếng mà lên mở 19 độ tầm 15 phút là lạnh ngắt phải tăng nhiệt lên , gầm bệ treo đều tốt dù bánh nhỏ ít ù chạy kiểu nhẹ nhàng lanh lợi. Dễ bao quát các góc lái.

5 chỗ cứ chọn Xforce bản UL nha, ghế quá êm bảo đảm đi xa khỏi lo mệt hay say xe, cách âm tốt từ gầm đến tiếng ồn đều giảm xuống rất nhỏ , chạy đầm nhất , không lắc lư nhiều như mấy hãng khác ,dù tăng tốc không phải là nhanh nhất nhưng nó mượt lắm nha, qua 30 trở lên vọt rất lẹ tự tin vượt xe ở số D chưa cần chuyển L hay Ds, thêm nữa cái adas nó khôn hơn ở cái bám tốc độ tự nhanh chậm rất mượt không lag và cảnh báo rất nhạy, máy lạnh thì lẹ lạnh sâu có lọc khử mùi rất dễ chịu rất thích, hộp lạnh bỏ chai nước mát mẻ, hàng 2 quá rộng rãi nhất phân phúc bảo đảm người yếu yếu đi Đà Lạt không lo say xe.

Chê BRV ồn, tiếng máy kêu to nhưng không phấn khích khi tăng tốc , lắc lư hơn, tưng nhiều hơn, dễ say xe nếu lái hơi nhồi và cảm nhận hơi chật bề ngang, màn hình bé tí, máy lạnh hơi chậm mát khen cái là nó tăng tốc lẹ làng ,vô lăng linh hoạt, gầm bệ đầm chắc, xe dễ kiểm soát các góc nhìn.

Stargazer X cảm giác rộng rãi, thoáng nhưng cốp sau bé nhất đám, cảm giác chạy trung bình không bốc lắm dù gặt qua sport rồi, gói adas khá nhưng hông nhạy như Xforce , ghế ngồi hơi mỏng, xe có treo hơi mềm và lắc lư nhưng ít hơn BRV, vô lăng mềm mại lái dễ chịu.

Xpander ổn định, hệ thống treo nằm giữa stargazer và XL7 , cảm giác lái thua XL7 hơn Stargazer 1 chút phần nước hậu, tăng tốc thua nước đầu mấy anh trong phân khúc , về sau 70 trở đi thì nhanh, Xpander lắc lư hơn XL7 nhưng ổn hơn huyndai và honda.

Ceata thì ổn về tăng tốc 1 chút với Xfroce , seltos, sonet, ghế nhỏ hơn Xfroce ,nệm chưa êm như Xforce, máy lạnh thời gian chờ mát mẻ lâu hơn, nhưng cảm giác xe dễ điều khiển bao quát hơn Xfroce, lưng của creta ngả ít hơn, cảm giác cách âm gầm và động cơ hơn Xforce 1 chút,  nhưng cách âm gió và ù thua Xfoce 1 chút.

Chút cảm nhận khi test qua thấy như vậy.",TÍCH CỰC,POS,0.991,https://www.facebook.com/groups/431401395145676/posts/1034636534822156?locale=en_US,https://www.facebook.com/groups/431401395145676/posts/1034636534822156?locale=en_US
"E mới mua cái này. Ko có j để chê 
https://shope.ee/qK6KWqM1F",TÍCH CỰC,POS,0.923,https://www.facebook.com/groups/xemaydien/posts/7559742734043977?locale=en_US,https://www.facebook.com/groups/xemaydien/posts/7559742734043977?locale=en_US
Lỗi là kg có tiền để mua,TIÊU CỰC,NEG,0.9721,https://www.facebook.com/groups/1167278443782686/posts/2541069836403533?locale=en_US,https://www.facebook.com/groups/1167278443782686/posts/2541069836403533?locale=en_US
"Nếu 2 bé cần 2 ghế trẻ em thif bác lấy terri hợp lý đó ạ, băng 2 rộng ngag mà sàn phẳng, mẹ ngồi giữa 2 bé đảm bảo đi xa vẫn thoải mái 
Giá tốt cạnhbtranh bác inbox em nhé 
Lh 0567679797",TÍCH CỰC,POS,0.9892,https://www.facebook.com/groups/gearupvn/posts/1587568102808318?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1587568102808318?locale=en_US
"Bên e sẵn xe giao ngay, giá tốt ạ
☎️ 0329.200.143",TÍCH CỰC,POS,0.9922,https://www.facebook.com/groups/936866700280476/posts/1952257385408064?locale=en_US,https://www.facebook.com/groups/936866700280476/posts/1952257385408064?locale=en_US
Mình xin giá cả 2 dòng nhé,TRUNG TÍNH,NEU,0.8518,https://www.facebook.com/kialongbien/videos/so-s%C3%A1nh-kia-sonet-v%C3%A0-kia-seltos-ch%C3%AAnh-nhau-40tr-xe-n%C3%A0o-l%C3%A0-l%E1%BB%B1a-ch%E1%BB%8Dn-ph%C3%B9-h%E1%BB%A3p-kiase/1033706005975073?locale=en_US,https://www.facebook.com/kialongbien/videos/so-s%C3%A1nh-kia-sonet-v%C3%A0-kia-seltos-ch%C3%AAnh-nhau-40tr-xe-n%C3%A0o-l%C3%A0-l%E1%BB%B1a-ch%E1%BB%8Dn-ph%C3%B9-h%E1%BB%A3p-kiase/1033706005975073?locale=en_US
"bản 1.6 turbo ngon, giá thơm nhưng ít xe, muốn mua thì phải chờ lâu",TÍCH CỰC,POS,0.9767,https://www.facebook.com/groups/aemexe/posts/3632529990235244?locale=en_US,https://www.facebook.com/groups/aemexe/posts/3632529990235244?locale=en_US
Creta đi a,TRUNG TÍNH,NEU,0.9071,https://www.facebook.com/groups/aemexe/posts/3145417738946474?locale=en_US,https://www.facebook.com/groups/aemexe/posts/3145417738946474?locale=en_US
Nội thất đc cái màn to chứ nhìn tổng thể ko hài hòa bằng bản cũ,TIÊU CỰC,NEG,0.9799,https://www.facebook.com/Autodaily/posts/%C4%91%C3%A1nh-gi%C3%A1-%C6%B0u-nh%C6%B0%E1%BB%A3c-%C4%91i%E1%BB%83m-mazda-cx-5-2026-c%C3%B3-%C4%91%C3%A1ng-%C4%91%E1%BB%83-ch%E1%BB%9D-%C4%91%E1%BB%A3i-/1179873384184492?locale=en_US,https://www.facebook.com/Autodaily/posts/%C4%91%C3%A1nh-gi%C3%A1-%C6%B0u-nh%C6%B0%E1%BB%A3c-%C4%91i%E1%BB%83m-mazda-cx-5-2026-c%C3%B3-%C4%91%C3%A1ng-%C4%91%E1%BB%83-ch%E1%BB%9D-%C4%91%E1%BB%A3i-/1179873384184492?locale=en_US
"Đúc bác ạ. Đúc chọn loại xịn khít xe sẽ an tâm hơn

Đúc thì chọn con này tràn viền nhé",TÍCH CỰC,POS,0.9929,https://www.facebook.com/groups/SONETClubVN/posts/1887408588903680?locale=en_US,https://www.facebook.com/groups/SONETClubVN/posts/1887408588903680?locale=en_US
Con nào đắt hơn thì mua thôi,TRUNG TÍNH,NEU,0.7813,https://www.facebook.com/groups/aemexe/posts/3772682036220038?locale=en_US,https://www.facebook.com/groups/aemexe/posts/3772682036220038?locale=en_US
Thật sự đâu có nhiều xe bị đứt dây đai hộp số.,TRUNG TÍNH,NEU,0.846,https://www.facebook.com/groups/hondacitygroup/posts/711401793548958?locale=en_US,https://www.facebook.com/groups/hondacitygroup/posts/711401793548958?locale=en_US
Trả biết xe mn tn nhưng Xpander cross AT 2026 đã khác êm ái hơn rất nhiều Tôi chỉ thấy lúc tăng ga k đc bốc cho lắm thôi,TÍCH CỰC,POS,0.7626,https://www.facebook.com/otochutin/videos/%C4%91%C3%A1nh-gi%C3%A1-v%E1%BB%81-xe-xpander/26158748123828316?locale=en_US,https://www.facebook.com/otochutin/videos/%C4%91%C3%A1nh-gi%C3%A1-v%E1%BB%81-xe-xpander/26158748123828316?locale=en_US
"Bên e sẵn Mẫu thanh dọc Cao + Giá nóc Vf9
Tháo lắp zin xe ko khoan đục
Giá hợp lí lh e tv 0962008345",TÍCH CỰC,POS,0.9908,https://www.facebook.com/groups/vinfastvf9/posts/1470068973803665?locale=en_US,https://www.facebook.com/groups/vinfastvf9/posts/1470068973803665?locale=en_US
"Đơn giản lắm: 
1. Lái các xe bạn đang bán (xe demo) ít cũng 200-300km để trải nghiệm.
2. Xem các kênh review xe họ đánh giá ưu nhược điểm xe bạn đang bán & các xe cùng phân khúc.
3. Làm youtube, tiktok để truyền tải nội dung tích cực, mớ mẻ về xe, hãng xe bạn đang làm việc.
4. Hết. Thực hành & thực hành thực tế. Tư vấn khách để biết dc tính cách, sở thích… của từng khách mà đáp ứng.",TÍCH CỰC,POS,0.9918,https://www.facebook.com/groups/431401395145676/posts/1464640848488387?locale=en_US,https://www.facebook.com/groups/431401395145676/posts/1464640848488387?locale=en_US
Mô tơ quạt két nước Vios 2018 giá sao a,TRUNG TÍNH,NEU,0.7538,https://www.facebook.com/toanthangauto318/videos/toyota-vios-nghe-ti%E1%BA%BFng-%C4%91%C3%B3ng-ng%E1%BA%AFt-l%E1%BB%91c-l%E1%BA%A1nh-l%E1%BB%9Bn-h%C6%A1n-b%C3%ACnh-th%C6%B0%E1%BB%9Dng-xuhuong-toanthanga/1504647174777960?locale=en_US,https://www.facebook.com/toanthangauto318/videos/toyota-vios-nghe-ti%E1%BA%BFng-%C4%91%C3%B3ng-ng%E1%BA%AFt-l%E1%BB%91c-l%E1%BA%A1nh-l%E1%BB%9Bn-h%C6%A1n-b%C3%ACnh-th%C6%B0%E1%BB%9Dng-xuhuong-toanthanga/1504647174777960?locale=en_US
"bán thôi bác, về ex nhỏ lên 63 cho khoẻ 🐧",TRUNG TÍNH,NEU,0.8664,https://www.facebook.com/groups/voz.oto.xemay/posts/1047527213072803?locale=en_US,https://www.facebook.com/groups/voz.oto.xemay/posts/1047527213072803?locale=en_US
Hằng ngày có ăn cơm bình thường như mọi người ko vậy bạn?,TRUNG TÍNH,NEU,0.9057,https://www.facebook.com/groups/otosaigon2023/posts/1076780197661209?locale=en_US,https://www.facebook.com/groups/otosaigon2023/posts/1076780197661209?locale=en_US
Cắp ghép thôi .. Vin Fét sao mà mềm như vậy đc 😁,TÍCH CỰC,POS,0.9919,https://www.facebook.com/viettan/posts/v%E1%BB%81-h%E1%BB%87-th%E1%BB%91ng-c%E1%BA%A3nh-b%C3%A1o-v%C3%A0-phanh-t%E1%BB%B1-%C4%91%E1%BB%99ng-c%C3%B3-th%E1%BB%B1c-s%E1%BB%B1-nh%E1%BA%A1y-kh%C3%B4ng-th%C3%AC-ch%C6%B0a-r%C3%B5-nh%C6%B0ng-ch/938326885003986?locale=en_US,https://www.facebook.com/viettan/posts/v%E1%BB%81-h%E1%BB%87-th%E1%BB%91ng-c%E1%BA%A3nh-b%C3%A1o-v%C3%A0-phanh-t%E1%BB%B1-%C4%91%E1%BB%99ng-c%C3%B3-th%E1%BB%B1c-s%E1%BB%B1-nh%E1%BA%A1y-kh%C3%B4ng-th%C3%AC-ch%C6%B0a-r%C3%B5-nh%C6%B0ng-ch/938326885003986?locale=en_US
Quanh 2t thì vừa chơi vừa sửa cũng quá ok,TÍCH CỰC,POS,0.9774,https://www.facebook.com/groups/213136749292930/posts/1753134435293146?locale=en_US,https://www.facebook.com/groups/213136749292930/posts/1753134435293146?locale=en_US
Xe Hàn ra chuồng gà hết :))),TRUNG TÍNH,NEU,0.8472,https://www.facebook.com/groups/cuongtruewireless/posts/1947221589401457?locale=en_US,https://www.facebook.com/groups/cuongtruewireless/posts/1947221589401457?locale=en_US
"Khúc đó có 1 đoạn có biển cấm vượt, m thấy vẫn vượt bình thường, nói tới là được bonus cho câu hỏi “biết làn hỗn hợp không, có biển cấm oto chạy vào không”, đi oto có máy lạnh mát mẻ mà sao nhiều Thằng thích hơn thua, chỉ giỏi hơn thua với xe máy chứ dám ra ngoài hơn thua với container đâu",TRUNG TÍNH,NEU,0.4635,https://www.facebook.com/groups/otosaigon2023/posts/1209480311057863?locale=en_US,https://www.facebook.com/groups/otosaigon2023/posts/1209480311057863?locale=en_US
Được cái thiết kế đẹp hơn,TÍCH CỰC,POS,0.9914,https://www.facebook.com/groups/gearupvn/posts/1070344081197392?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1070344081197392?locale=en_US
Coolray sắp ra có 530 nè,TÍCH CỰC,POS,0.9882,https://www.facebook.com/groups/gearupvn/posts/1163112671920532?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1163112671920532?locale=en_US
Toyota Veloz,TRUNG TÍNH,NEU,0.8228,https://www.facebook.com/groups/1163182927490308/posts/2451964121945509?locale=en_US,https://www.facebook.com/groups/1163182927490308/posts/2451964121945509?locale=en_US
Xúc đi xe mình mình chạy mà quan tâm gì miệng lưỡi mấy thằng khác,TIÊU CỰC,NEG,0.9762,https://www.facebook.com/groups/gearupvn/posts/1426411672257296?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/1426411672257296?locale=en_US
"Mình có bán bình xịt vá lốp khẩn cấp, vừa vá vừa bơm căng lốp luôn, mỗi lần xịt bơm được 1 lốp và đi được 40km đến điểm vá",TIÊU CỰC,NEG,0.9836,https://www.facebook.com/groups/1023069638660550/posts/1510596549907854?locale=en_US,https://www.facebook.com/groups/1023069638660550/posts/1510596549907854?locale=en_US
nó có giữ làn nên có nặg hơn xe bt bác ơi !,TRUNG TÍNH,NEU,0.8841,https://www.facebook.com/groups/345713636690072/posts/789448472316584?locale=en_US,https://www.facebook.com/groups/345713636690072/posts/789448472316584?locale=en_US
Thua Altis hết,TIÊU CỰC,NEG,0.9688,https://www.facebook.com/groups/gearupvn/posts/910470217184780?locale=en_US,https://www.facebook.com/groups/gearupvn/posts/910470217184780?locale=en_US
Đi quá ngon,TÍCH CỰC,POS,0.9929,https://www.facebook.com/groups/congdongxexanhtoyota/posts/4158983827726928?locale=en_US,https://www.facebook.com/groups/congdongxexanhtoyota/posts/4158983827726928?locale=en_US
